"ID","案例类型","论文名称","论文作者","论文链接","论文年份","来源标签
（会议期刊）","github链接","状态"
"1","✅ 已完成","Attention is all you need","Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez, ﾅ「kasz Kaiser, Illia Polosukhin","https://papers.neurips.cc/paper_files/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf","2017","NIPS","https://github.com/jadore801120/attention-is-all-you-need-pytorch",""
"2","💡 未复现","Improving language understanding by generative pre-training","Alec Radford，Karthik Narasimhan，Tim Salimans，Ilya Sutskever","https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf","2018","OpenAI","",""
"3","💡 未复现","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova","https://aclanthology.org/N19-1423/?utm_campaign=The+Batch&utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz-_m9bbH_7ECE1h3lZ3D61TYg52rKpifVNjL4fvJ85uqggrXsWDBTB7YooFLJeNXHWqhvOyC","2019","NAACL","",""
"4","💡 未复现","Language models are unsupervised multitask learners","Alec Radford，Jeffrey Wu，Rewon Child，David Luan，Dario Amodei，Ilya Sutskever","https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf","2019","OpenAI","",""
"5","💡 未复现","Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer","Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu","https://www.jmlr.org/papers/v21/20-074.html","2020","JMLR","https://github.com/google-research/text-to-text-transfer-transformer",""
"6","💡 未复现","From Local to Global: A GraphRAG Approach to
Query-Focused Summarization","Darren Edge, Ha Trinh, Newman Cheng, Joshua Bradley, Alex Chao, Apurva Mody, Steven Truitt, Dasha Metropolitansky, Robert Osazuwa Ness, Jonathan Larson","https://arxiv.org/abs/2404.16130","2024","","https://github.com/microsoft/graphrag",""
"7","💡 未复现","Language Models are Few-Shot Learners","Tom Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared D Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel Ziegler, Jeffrey Wu, Clemens Winter, Chris Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei","https://proceedings.neurips.cc/paper_files/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html?utm_source=transaction&utm_medium=email&utm_campaign=linkedin_newsletter","2020","NIPS","https://github.com/openai/gpt-3",""
"8","💡 未复现","LoRA: Low-Rank Adaptation of Large Language Models","Edward J Hu,yelong shen,Phillip Wallis,Zeyuan Allen-Zhu,Yuanzhi Li,Shean Wang,Lu Wang,Weizhu Chen","https://openreview.net/forum?id=nZeVKeeFYf9","2022","ICLR","https://github.com/microsoft/LoRA",""
"9","💡 未复现","Finetuned Language Models are Zero-Shot Learners","Jason Wei,Maarten Bosma,Vincent Zhao,Kelvin Guu,Adams Wei Yu,Brian Lester,Nan Du,Andrew M. Dai,Quoc V Le","https://openreview.net/forum?id=gEZrGCozdqR&ref=morioh.com&utm_source=morioh.com","2022","ICLR","https://github.com/google-research/FLAN",""
"10","💡 未复现","LLaMA: Open and Efficient Foundation Language Models","Hugo Touvron, Thibaut Lavril, Gautier Izacard, Xavier Martinet, Marie-Anne Lachaux, Timothée Lacroix, Baptiste Rozière, Naman Goyal, Eric Hambro, Faisal Azhar, Aurelien Rodriguez, Armand Joulin, Edouard Grave, Guillaume Lample","https://arxiv.org/abs/2302.13971","2023","","https://github.com/meta-llama/llama",""
"11","💡 未复现","Self-Consistency Improves Chain of Thought Reasoning in Language Models","Xuezhi Wang,Jason Wei,Dale Schuurmans,Quoc V Le,Ed H. Chi,Sharan Narang,Aakanksha Chowdhery,Denny Zhou","https://openreview.net/forum?id=1PL1NIMMrw&utm_source=chatgpt.com","2023","ICLR","https://github.com/dj-sorry/self_consistency",""
"12","💡 未复现","Why Can GPT Learn In-Context? Language Models Secretly Perform Gradient Descent as Meta-Optimizers","Damai Dai, Yutao Sun, Li Dong, Yaru Hao, Shuming Ma, Zhifang Sui, Furu Wei","https://aclanthology.org/2023.findings-acl.247/","2023","ACL","https://github.com/microsoft/LMOps/tree/main/understand_icl",""
"13","💡 未复现","Toolformer: Language Models Can Teach Themselves to Use Tools","Timo Schick, Jane Dwivedi-Yu, Roberto Dessi, Roberta Raileanu, Maria Lomeli, Eric Hambro, Luke Zettlemoyer, Nicola Cancedda, Thomas Scialom","https://proceedings.neurips.cc/paper_files/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html","2023","NIPS","https://github.com/lucidrains/toolformer-pytorch",""
