"ID","案例类型","论文名称","论文作者","论文链接","论文年份","来源标签
（会议期刊）","github链接","状态"
"1","💡 未复现","Attention is all you need","Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez, ﾅ「kasz Kaiser, Illia Polosukhin","https://papers.neurips.cc/paper_files/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf","2017","NIPS","https://github.com/jadore801120/attention-is-all-you-need-pytorch",""
"2","💡 未复现","Improving language understanding by generative pre-training","Alec Radford，Karthik Narasimhan，Tim Salimans，Ilya Sutskever","https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf","2018","OpenAI","",""
"3","💡 未复现","BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding","Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova","https://aclanthology.org/N19-1423/?utm_campaign=The+Batch&utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz-_m9bbH_7ECE1h3lZ3D61TYg52rKpifVNjL4fvJ85uqggrXsWDBTB7YooFLJeNXHWqhvOyC","2019","NAACL","",""
"4","💡 未复现","Language models are unsupervised multitask learners","Alec Radford，Jeffrey Wu，Rewon Child，David Luan，Dario Amodei，Ilya Sutskever","https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf","2019","OpenAI","",""
"5","💡 未复现","Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer","Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu","https://www.jmlr.org/papers/v21/20-074.html","2020","JMLR","https://github.com/google-research/text-to-text-transfer-transformer",""
"6","💡 未复现","From Local to Global: A GraphRAG Approach to
Query-Focused Summarization","Darren Edge, Ha Trinh, Newman Cheng, Joshua Bradley, Alex Chao, Apurva Mody, Steven Truitt, Dasha Metropolitansky, Robert Osazuwa Ness, Jonathan Larson","https://arxiv.org/abs/2404.16130","2024","","https://github.com/microsoft/graphrag",""
"7","💡 未复现","Language Models are Few-Shot Learners","Tom Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared D Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel Ziegler, Jeffrey Wu, Clemens Winter, Chris Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei","https://proceedings.neurips.cc/paper_files/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html?utm_source=transaction&utm_medium=email&utm_campaign=linkedin_newsletter","2020","NIPS","https://github.com/openai/gpt-3",""
"8","💡 未复现","LoRA: Low-Rank Adaptation of Large Language Models","Edward J Hu,yelong shen,Phillip Wallis,Zeyuan Allen-Zhu,Yuanzhi Li,Shean Wang,Lu Wang,Weizhu Chen","https://openreview.net/forum?id=nZeVKeeFYf9","2022","ICLR","https://github.com/microsoft/LoRA",""
"9","💡 未复现","Finetuned Language Models are Zero-Shot Learners","Jason Wei,Maarten Bosma,Vincent Zhao,Kelvin Guu,Adams Wei Yu,Brian Lester,Nan Du,Andrew M. Dai,Quoc V Le","https://openreview.net/forum?id=gEZrGCozdqR&ref=morioh.com&utm_source=morioh.com","2022","ICLR","https://github.com/google-research/FLAN",""
"10","💡 未复现","LLaMA: Open and Efficient Foundation Language Models","Hugo Touvron, Thibaut Lavril, Gautier Izacard, Xavier Martinet, Marie-Anne Lachaux, Timothée Lacroix, Baptiste Rozière, Naman Goyal, Eric Hambro, Faisal Azhar, Aurelien Rodriguez, Armand Joulin, Edouard Grave, Guillaume Lample","https://arxiv.org/abs/2302.13971","2023","","https://github.com/meta-llama/llama",""
"11","💡 未复现","Self-Consistency Improves Chain of Thought Reasoning in Language Models","Xuezhi Wang,Jason Wei,Dale Schuurmans,Quoc V Le,Ed H. Chi,Sharan Narang,Aakanksha Chowdhery,Denny Zhou","https://openreview.net/forum?id=1PL1NIMMrw&utm_source=chatgpt.com","2023","ICLR","https://github.com/dj-sorry/self_consistency",""
"12","💡 未复现","Why Can GPT Learn In-Context? Language Models Secretly Perform Gradient Descent as Meta-Optimizers","Damai Dai, Yutao Sun, Li Dong, Yaru Hao, Shuming Ma, Zhifang Sui, Furu Wei","https://aclanthology.org/2023.findings-acl.247/","2023","ACL","https://github.com/microsoft/LMOps/tree/main/understand_icl",""
"13","💡 未复现","Toolformer: Language Models Can Teach Themselves to Use Tools","Timo Schick, Jane Dwivedi-Yu, Roberto Dessi, Roberta Raileanu, Maria Lomeli, Eric Hambro, Luke Zettlemoyer, Nicola Cancedda, Thomas Scialom","https://proceedings.neurips.cc/paper_files/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html","2023","NIPS","https://github.com/lucidrains/toolformer-pytorch",""
"14","💡 未复现","DetectGPT: Zero-Shot Machine-Generated Text Detection using Probability Curvature","Eric Mitchell, Yoonho Lee, Alexander Khazatsky, Christopher D Manning, Chelsea Finn","https://proceedings.mlr.press/v202/mitchell23a.html","2023","PMLR","https://github.com/eric-mitchell/detect-gpt",""
"15","💡 未复现","Recitation-augmented language models","Zhiqing Sun,Xuezhi Wang,Yi Tay,Yiming Yang,Denny Zhou","https://openreview.net/forum?id=-cqvvvb-NkI","2023","ICLR","https://github.com/Edward-Sun/RECITE",""
"16","💡 未复现","Self-Instruct: Aligning Language Models with Self-Generated Instructions","Yizhong Wang, Yeganeh Kordi, Swaroop Mishra, Alisa Liu, Noah A. Smith, Daniel Khashabi, Hannaneh Hajishirzi","https://aclanthology.org/2023.acl-long.754/","2023","ACL","https://github.com/yizhongw/self-instruct",""
"17","💡 未复现","Automatic chain of thought prompting in large language models","Zhuosheng Zhang,Aston Zhang,Mu Li,Alex Smola","https://openreview.net/forum?id=5NTt8GFjUHkr","2023","ICLR","https://github.com/amazon-science/auto-cot",""
"18","💡 未复现","REALM: retrieval-augmented language model pre-training","Kelvin Guu, Kenton Lee, Zora Tung, Panupong Pasupat, Ming-Wei Chang","https://dl.acm.org/doi/abs/10.5555/3524938.3525306","2020","ICML","https://github.com/google-research/language/tree/master/language/realm",""
"19","💡 未复现","Language Is Not All You Need: Aligning Perception with Language Models","Shaohan Huang, Li Dong, Wenhui Wang, Yaru Hao, Saksham Singhal, Shuming Ma, Tengchao Lv, Lei Cui, Owais Khan Mohammed, Barun Patra, Qiang Liu, Kriti Aggarwal, Zewen Chi, Nils Bjorck, Vishrav Chaudhary, Subhojit Som, XIA SONG, Furu Wei","https://proceedings.neurips.cc/paper_files/paper/2023/hash/e425b75bac5742a008d643826428787c-Abstract-Conference.html","2023","NIPS","https://github.com/microsoft/unilm/tree/master/unilm-v1",""
"20","💡 未复现","Automatic Prompt Augmentation and Selection with Chain-of-Thought from Labeled Data","Kashun Shum, Shizhe Diao, Tong Zhang","https://aclanthology.org/2023.findings-emnlp.811/","2023","EMNLP","https://github.com/SHUMKASHUN/Automate-CoT",""
"21","💡 未复现","Weakly Supervised Semantic Segmentation via Alternate Self-Dual Teaching","Dingwen Zhang, Wenyuan Zeng, Guangyu Guo, Chaowei Fang, Lechao Cheng, Ming-Ming Cheng, Junwei Han","https://arxiv.org/abs/2112.09459","2025","TIP","",""
"22","💡 未复现","Text to Image for Multi-Label Image Recognition with Joint Prompt-Adapter Learning","Chun-Mei Feng, Kai Yu, Xinxing Xu, Salman Khan, Rick Siow Mong Goh, Wangmeng Zuo, Yong Liu","https://arxiv.org/abs/2506.10575","2024","TPAMI","",""
"23","💡 未复现","Segment Concealed Objects with Incomplete Supervision","Chunming He, Kai Li, Yachao Zhang, Ziyun Yang, Youwei Pang, Longxiang Tang, Chengyu Fang, Yulun Zhang, Linghe Kong, Xiu Li, Sina Farsiu","https://arxiv.org/pdf/2506.08955","2025","TPAMI","https://github.com/ChunmingHe/SEE",""
"24","💡 未复现","Event-based Stereo Depth Estimation: A Survey","Suman Ghosh, Guillermo Gallego","https://arxiv.org/abs/2409.17680","2025","TPAMI","",""
"25","💡 未复现","Efficient Low-Resolution Face Recognition via Bridge Distillation","Shiming Ge, Shengwei Zhao, Chenyu Li, Yu Zhang, Jia Li","https://arxiv.org/abs/2409.11786","2024","TIP","",""
"26","💡 未复现","Towards Deviation-Robust Agent Navigation via Perturbation-Aware Contrastive Learning","Bingqian Lin, Yanxin Long, Yi Zhu, Fengda Zhu, Xiaodan Liang, Qixiang Ye, Liang Lin","https://arxiv.org/abs/2403.05770","2023","TPAMI","https://github.com/YicongHong/Recurrent-VLN-BERT",""
"27","💡 未复现","Bayesian Estimate of Mean Proper Scores for Diversity-Enhanced Active Learning","Wei Tan, Lan Du, Wray Buntine","https://arxiv.org/abs/2312.10116","2023","TPAMI","",""
"28","💡 未复现","Paragraph-to-Image Generation with Information-Enriched Diffusion Model","Weijia Wu, Zhuang Li, Yefei He, Mike Zheng Shou, Chunhua Shen, Lele Cheng, Yan Li, Tingting Gao, Di Zhang","https://arxiv.org/abs/2311.14284","2025","IJCV","https://github.com/weijiawu/ParaDiffusion",""
"29","💡 未复现","Inherit with Distillation and Evolve with Contrast: Exploring Class Incremental Semantic Segmentation Without Exemplar Memory","Danpei Zhao, Bo Yuan, Zhenwei Shi","https://arxiv.org/abs/2309.15413","2023","TPAMI","",""
"30","💡 未复现","Dual Compensation Residual Networks for Class Imbalanced Learning","Ruibing Hou, Hong Chang, Bingpeng Ma, Shiguang Shan, Xilin Chen","https://arxiv.org/abs/2308.13165","2023","TPAMI","",""
"31","💡 未复现","End-to-end Alternating Optimization for Real-World Blind Super Resolution","Zhengxiong Luo, Yan Huang, Shang Li, Liang Wang, Tieniu Tan","https://arxiv.org/abs/2308.08816","2023","IJCV","https://github.com/greatlog/RealDAN",""
"32","💡 未复现","YOLO-MS: Rethinking Multi-Scale Representation Learning for Real-time Object Detection","Yuming Chen, Xinbin Yuan, Jiabao Wang, Ruiqi Wu, Xiang Li, Qibin Hou, Ming-Ming Cheng","https://arxiv.org/abs/2308.05480","2025","TPAMI","https://github.com/FishAndWasabi/YOLO-MS",""
"33","💡 未复现","A Survey on Graph Neural Networks for Time Series: Forecasting, Classification, Imputation, and Anomaly Detection","Ming Jin, Huan Yee Koh, Qingsong Wen, Daniele Zambon, Cesare Alippi, Geoffrey I. Webb, Irwin King, Shirui Pan","https://arxiv.org/abs/2307.03759","2024","TPAMI","https://github.com/KimMeen/Awesome-GNN4TS",""
"34","💡 未复现","SplatFlow: Learning Multi-frame Optical Flow via Splatting","Bo Wang, Yifan Zhang, Jian Li, Yang Yu, Zhenping Sun, Li Liu, Dewen Hu","https://arxiv.org/abs/2306.08887","2024","IJCV","https://github.com/wwsource/SplatFlow",""
"35","💡 未复现","Towards Expressive Spectral-Temporal Graph Neural Networks for Time Series Forecasting","Ming Jin, Guangsi Shi, Yuan-Fang Li, Bo Xiong, Tian Zhou, Flora D. Salim, Liang Zhao, Lingfei Wu, Qingsong Wen, Shirui Pan","https://arxiv.org/abs/2305.06587","2025","TPAMI","",""
"36","💡 未复现","Efficient Halftoning via Deep Reinforcement Learning","Haitian Jiang, Dongliang Xiong, Xiaowen Jiang, Li Ding, Liang Chen, Kai Huang","https://arxiv.org/abs/2304.12152","2023","TIP","",""
"37","💡 未复现","PAC-Bayes Bounds for Bandit Problems: A Survey and Experimental Comparison","Hamish Flynn, David Reeb, Melih Kandemir, Jan Peters","https://arxiv.org/abs/2211.16110","2023","TPAMI","",""
"38","💡 未复现","Salient Object Detection via Dynamic Scale Routing","Zhenyu Wu, Shuai Li, Chenglizhao Chen, Hong Qin, Aimin Hao","https://arxiv.org/abs/2210.13821","2022","TIP","https://github.com/wuzhenyubuaa/DPNet",""
"39","💡 未复现","Twin Contrastive Learning for Online Clustering","Yunfan Li, Mouxing Yang, Dezhong Peng, Taihao Li, Jiantao Huang, Xi Peng","https://arxiv.org/abs/2210.11680","2022","IJCV","",""
"40","💡 未复现","Kernel-Based Generalized Median Computation for Consensus Learning","Andreas Nienkötter, Xiaoyi Jiang","https://arxiv.org/abs/2209.10208","2022","TPAMI","",""
"41","💡 未复现","A Tale of HodgeRank and Spectral Method: Target Attack Against Rank Aggregation Is the Fixed Point of Adversarial Game","Ke Ma, Qianqian Xu, Jinshan Zeng, Guorong Li, Xiaochun Cao, Qingming Huang","https://arxiv.org/abs/2209.05742","2022","TPAMI","",""
"42","💡 未复现","Boosting Night-time Scene Parsing with Learnable Frequency","Zhifeng Xie, Sen Wang, Ke Xu, Zhizhong Zhang, Xin Tan, Yuan Xie, Lizhuang Ma","https://arxiv.org/abs/2208.14241","2023","TIP","",""
"43","💡 未复现","SiamMask: A Framework for Fast Online Object Tracking and Segmentation","Weiming Hu, Qiang Wang, Li Zhang, Luca Bertinetto, Philip H. S. Torr","https://arxiv.org/abs/2207.02088","2022","TPAMI","",""
"44","💡 未复现","SERE: Exploring Feature Self-relation for Self-supervised Transformer","Zhong-Yu Li, Shanghua Gao, Ming-Ming Cheng","https://arxiv.org/abs/2206.05184","2023","TPAMI","https://github.com/MCG-NKU/SERE",""
"45","💡 未复现","Parallel and Distributed Graph Neural Networks: An In-Depth Concurrency Analysis","Maciej Besta, Torsten Hoefler","https://arxiv.org/abs/2205.09702","2023","TPAMI","",""
"46","💡 未复现","Efficient Burst Raw Denoising with Variance Stabilization and Multi-frequency Denoising Network","Dasong Li, Yi Zhang, Ka Lung Law, Xiaogang Wang, Hongwei Qin, Hongsheng Li","https://arxiv.org/abs/2205.04721","2022","IJCV","",""
"47","💡 未复现","Incomplete Gamma Kernels: Generalizing Locally Optimal Projection Operators","Patrick Stotko, Michael Weinmann, Reinhard Klein","https://arxiv.org/abs/2205.01087","2024","TPAMI","https://github.com/stotko/incomplete-gamma-kernels",""
"48","💡 未复现","From Slow Bidirectional to Fast Autoregressive Video Diffusion Models","Tianwei Yin, Qiang Zhang, Richard Zhang, William T. Freeman, Fredo Durand, Eli Shechtman, Xun Huang","https://arxiv.org/abs/2412.07772","2025","CVPR","https://github.com/tianweiy/CausVid",""
"49","💡 未复现","FastComposer: Tuning-Free Multi-Subject Image Generation with Localized Attention","Guangxuan Xiao, Tianwei Yin, William T. Freeman, Frédo Durand, Song Han","https://arxiv.org/abs/2305.10431","2024","IJCV","https://github.com/mit-han-lab/fastcomposer",""
"50","💡 未复现","ROGRAG: A Robustly Optimized GraphRAG Framework","Zhefan Wang, Huanjun Kong, Jie Ying, Wanli Ouyang, Nanqing Dong","https://arxiv.org/abs/2503.06474","2025","ACL","https://github.com/tpoisonooo/ROGRAG",""
"51","💡 未复现","Dual Encoder GAN Inversion for High-Fidelity 3D Head Reconstruction from Single Images","Bahri Batuhan Bilecen, Ahmet Berke Gokmen, Aysegul Dundar","https://arxiv.org/abs/2409.20530","2024","NIPS","berkegokmen1/dual-enc-3d-gan-inversion",""
"52","💡 未复现","Can We Leave Deepfake Data Behind in Training Deepfake Detector","Jikang Cheng, Zhiyuan Yan, Ying Zhang, Yuhao Luo, Zhongyuan Wang, Chen Li","https://arxiv.org/pdf/2408.17052","2024","NIPS","https://github.com/beautyremain/ProDet",""
"53","💡 未复现","VAST: A Vision-Audio-Subtitle-Text Omni-Modality Foundation Model and Dataset","Sihan Chen, Handong Li, Qunbo Wang, Zijia Zhao, Mingzhen Sun, Xinxin Zhu, Jing Liu","https://arxiv.org/abs/2305.18500","2023","NIPS","https://github.com/TXH-mercury/VAST",""
"54","💡 未复现","MASt3R-SLAM: Real-Time Dense SLAM with 3D Reconstruction Priors","Riku Murai, Eric Dexheimer, Andrew J. Davison","https://arxiv.org/abs/2412.12392","2025","CVPR","https://github.com/rmurai0610/MASt3R-SLAM",""
